To,From,Date,Subject,nombre_remitente,CurrentEmploymentType_remitente,CurrentEmploymentTitle_remitente,nombre_dest,CurrentEmploymentType_dest,CurrentEmploymentTitle_dest
Kare.Orilla@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/13/2014 12:51,"RE: Works for me, thanks",Ingrid Barranco,Executive,SVP/CFO,Kare Orilla,Engineering,Drill Technician
Lars.Azada@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/14/2014 13:35,RE: Who’s tracking the office pool,Anda Ribera,Administration,Assistant to CFO,Lars Azada,Engineering,Engineer
Lars.Azada@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/14/2014 14:22,RE: Who’s tracking the office pool,Anda Ribera,Administration,Assistant to CFO,Lars Azada,Engineering,Engineer
Linda.Lagos@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/17/2014 14:39,Awwww- cute!,Vira Frente,Engineering,Hydraulic Technician,Linda Lagos,Administration,Assistant to COO
Linnea.Bergen@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/15/2014 12:31,RE: Favor - borrow hedge trimmer,Claudio Hawelon,Facilities,Truck Driver,Linnea Bergen,Information Technology,IT Group Manager
Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/6/2014 12:15,RE: Plants,Ingrid Barranco,Executive,SVP/CFO,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/6/2014 13:21,RE: Plants,Ingrid Barranco,Executive,SVP/CFO,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 16:48,FW: ARISE - Inspiration for Defenders of Kronos,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Loreto Bodrogi,Security,Site Control
Loreto.Bodrogi@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/14/2014 16:57,RE: Action: Virus detected on your system,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Loreto Bodrogi,Security,Site Control
Lucas.Alcazar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 14:05,Congratulations on your service anniversary,Dante Coginian,Facilities,Lead Janitor,Lucas Alcazar,Information Technology,IT Helpdesk
Lucas.Alcazar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/6/2014 16:55,RE: Congratulations on your service anniversary,Dante Coginian,Facilities,Lead Janitor,Lucas Alcazar,Information Technology,IT Helpdesk
Lucas.Alcazar@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/10/2014 11:03,Copier,Emile Arpa,Facilities,Janitor,Lucas Alcazar,Information Technology,IT Helpdesk
Lucas.Alcazar@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/10/2014 13:53,RE: Copier,Emile Arpa,Facilities,Janitor,Lucas Alcazar,Information Technology,IT Helpdesk
Marin.Onda@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/15/2014 13:45,RE: Files,Emile Arpa,Facilities,Janitor,Marin Onda,Engineering,Drill Site Manager
Marin.Onda@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,1/15/2014 14:19,RE: Files,Emile Arpa,Facilities,Janitor,Marin Onda,Engineering,Drill Site Manager
Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/7/2014 14:50,RE: Document stuck,Dante Coginian,Facilities,Lead Janitor,Mat Bramar,Administration,Assistant to CEO
Mat.Bramar@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/10/2014 13:34,RE: Need a ride to lunch later,Varro Awelon,Facilities,Janitor,Mat Bramar,Administration,Assistant to CEO
Mat.Bramar@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/10/2014 14:26,RE: Need a ride to lunch later,Varro Awelon,Facilities,Janitor,Mat Bramar,Administration,Assistant to CEO
Mat.Bramar@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/10/2014 14:57,RE: Need a ride to lunch later,Varro Awelon,Facilities,Janitor,Mat Bramar,Administration,Assistant to CEO
Minke.Mies@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/10/2014 10:44,No problem,Nils Calixto,Information Technology,IT Technician,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/13/2014 12:40,RE: Concert,Nils Calixto,Information Technology,IT Technician,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 16:48,FW: ARISE - Inspiration for Defenders of Kronos,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/14/2014 16:57,RE: Action: Virus detected on your system,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/17/2014 12:11,RE: The rest of the files are in your mailbox,Vira Frente,Engineering,Hydraulic Technician,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/17/2014 13:02,RE: The rest of the files are in your mailbox,Vira Frente,Engineering,Hydraulic Technician,Minke Mies,Security,Perimeter Control
Minke.Mies@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/17/2014 13:21,RE: The rest of the files are in your mailbox,Vira Frente,Engineering,Hydraulic Technician,Minke Mies,Security,Perimeter Control
Nils.Calixto@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/15/2014 12:51,Going home sick,Axel Calzas,Engineering,Drill Technician,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/15/2014 14:49,RE: Going home sick,Axel Calzas,Engineering,Drill Technician,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/15/2014 15:33,RE: Going home sick,Axel Calzas,Engineering,Drill Technician,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/6/2014 15:05,Late for meeting,Kanon Herrero,Security,Badging Office,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/6/2014 16:53,RE: Late for meeting,Kanon Herrero,Security,Badging Office,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,1/6/2014 17:10,RE: Late for meeting,Kanon Herrero,Security,Badging Office,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/13/2014 10:58,Concert,Minke Mies,Security,Perimeter Control,Nils Calixto,Information Technology,IT Technician
Nils.Calixto@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/13/2014 13:43,RE: Concert,Minke Mies,Security,Perimeter Control,Nils Calixto,Information Technology,IT Technician
Orhan.Strum@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/16/2014 11:51,RE: Plants,Gustav Cazar,Engineering,Hydraulic Technician,Orhan Strum,Executive,SVP/COO
Orhan.Strum@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/16/2014 12:17,RE: Plants,Gustav Cazar,Engineering,Hydraulic Technician,Orhan Strum,Executive,SVP/COO
Orhan.Strum@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/16/2014 12:51,RE: Plants,Gustav Cazar,Engineering,Hydraulic Technician,Orhan Strum,Executive,SVP/COO
Orhan.Strum@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/15/2014 10:38,RE: Ha ha,Irene Nant,Facilities,Truck Driver,Orhan Strum,Executive,SVP/COO
Orhan.Strum@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1/15/2014 11:27,RE: Ha ha,Irene Nant,Facilities,Truck Driver,Orhan Strum,Executive,SVP/COO
Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/6/2014 12:28,RE: Service anniversary,Stenig Fusil,Security,Building Control,Orhan Strum,Executive,SVP/COO
Rachel.Pantanal@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,1/10/2014 14:59,Service anniversary,Albina Hafon,Facilities,Truck Driver,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,1/10/2014 16:16,RE: Service anniversary,Albina Hafon,Facilities,Truck Driver,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/6/2014 15:14,Are you buying coffee?,Claudio Hawelon,Facilities,Truck Driver,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/9/2014 14:05,RE: Files,Hennie Osvaldo,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/9/2014 15:10,RE: Files,Hennie Osvaldo,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/7/2014 10:06,This weekend?,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/7/2014 10:48,Karoake night,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/7/2014 11:58,RE: Karoake night - :),Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/10/2014 14:32,New gyro place opened nearby,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/13/2014 9:24,Did you like the flowers?,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/14/2014 9:31,Did you like the flowers?,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/15/2014 14:33,This weekend?,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/15/2014 16:56,RE: This weekend?,Isia Vann,Security,Perimeter Control,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/13/2014 12:32,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Rachel Pantanal,Administration,Assistant to CIO
Rachel.Pantanal@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/13/2014 12:32,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Rachel Pantanal,Administration,Assistant to CIO
Ruscella.Mies.Haber@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,1/15/2014 15:41,Deadline changed?,Ada Campo-Corrente,Executive,SVP/CIO,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,1/13/2014 12:59,RE: Plants,Adra Nubarron,Engineering,Geologist,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,1/13/2014 13:22,RE: Plants,Adra Nubarron,Engineering,Geologist,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/14/2014 17:09,RE: Action: Virus detected on your system,Hennie Osvaldo,Security,Perimeter Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/14/2014 18:45,RE: Action: Virus detected on your system,Hennie Osvaldo,Security,Perimeter Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/14/2014 17:58,RE: Action: Virus detected on your system,Inga Ferro,Security,Site Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/14/2014 19:33,RE: Action: Virus detected on your system,Inga Ferro,Security,Site Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/13/2014,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/13/2014 14:50,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/14/2014 14:33,Action: Virus detected on your system,Linnea Bergen,Information Technology,IT Group Manager,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,1/14/2014 17:15,RE: Action: Virus detected on your system,Loreto Bodrogi,Security,Site Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Ruscella.Mies.Haber@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/14/2014 19:25,RE: Action: Virus detected on your system,Minke Mies,Security,Perimeter Control,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager
Sten.Sanjorge Jr.@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/17/2014 12:07,Files,Henk Mies,Facilities,Truck Driver,Sten Sanjorge Jr.,Executive,President/CEO
Sten.Sanjorge Jr.@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/17/2014 13:33,RE: Files,Henk Mies,Facilities,Truck Driver,Sten Sanjorge Jr.,Executive,President/CEO
Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/6/2014 12:28,RE: Service anniversary,Orhan Strum,Executive,SVP/COO,Stenig Fusil,Security,Building Control
Stenig.Fusil@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/15/2014 11:07,Favor - borrow hedge trimmer,Valeria Morlun,Facilities,Truck Driver,Stenig Fusil,Security,Building Control
Stenig.Fusil@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/10/2014 16:48,"RE: Hey, I’m going home sick.",Vira Frente,Engineering,Hydraulic Technician,Stenig Fusil,Security,Building Control
Stenig.Fusil@gastech.com.kronos,Vira.Frente@gastech.com.kronos,1/10/2014 17:49,"RE: Hey, I’m going home sick.",Vira Frente,Engineering,Hydraulic Technician,Stenig Fusil,Security,Building Control
Valeria.Morlun@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/6/2014 13:01,Favor - borrow hedge trimmer,Anda Ribera,Administration,Assistant to CFO,Valeria Morlun,Facilities,Truck Driver
Valeria.Morlun@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/6/2014 13:59,RE: Favor - borrow hedge trimmer,Anda Ribera,Administration,Assistant to CFO,Valeria Morlun,Facilities,Truck Driver
Varja.Lagos@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/10/2014 10:00,Out of staples,Axel Calzas,Engineering,Drill Technician,Varja Lagos,Security,Badging Office
Varja.Lagos@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,1/10/2014 12:24,RE: Out of staples,Axel Calzas,Engineering,Drill Technician,Varja Lagos,Security,Badging Office
Varja.Lagos@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/9/2014 11:14,Congratulations on your service anniversary,Felix Balas,Engineering,Engineer,Varja Lagos,Security,Badging Office
Varja.Lagos@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,1/10/2014 11:05,Meeting,Willem Vasco-Pais,Executive,Environmental Safety Advisor,Varja Lagos,Security,Badging Office
Varro.Awelon@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/16/2014 9:34,Favor - borrow hedge trimmer,Carla Forluniau,Administration,Assistant to IT Group Manager,Varro Awelon,Facilities,Janitor
Varro.Awelon@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/16/2014 12:20,RE: Favor - borrow hedge trimmer,Carla Forluniau,Administration,Assistant to IT Group Manager,Varro Awelon,Facilities,Janitor
Varro.Awelon@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/16/2014 12:41,RE: Favor - borrow hedge trimmer,Carla Forluniau,Administration,Assistant to IT Group Manager,Varro Awelon,Facilities,Janitor
Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/10/2014 12:11,Need a ride to lunch later,Mat Bramar,Administration,Assistant to CEO,Varro Awelon,Facilities,Janitor
Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/10/2014 14:13,RE: Need a ride to lunch later,Mat Bramar,Administration,Assistant to CEO,Varro Awelon,Facilities,Janitor
Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/10/2014 14:54,RE: Need a ride to lunch later,Mat Bramar,Administration,Assistant to CEO,Varro Awelon,Facilities,Janitor
Vira.Frente@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,1/17/2014 18:00,RE: Awwww- cute!,Linda Lagos,Administration,Assistant to COO,Vira Frente,Engineering,Hydraulic Technician
Vira.Frente@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/17/2014 10:59,The rest of the files are in your mailbox,Minke Mies,Security,Perimeter Control,Vira Frente,Engineering,Hydraulic Technician
Vira.Frente@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/17/2014 12:46,RE: The rest of the files are in your mailbox,Minke Mies,Security,Perimeter Control,Vira Frente,Engineering,Hydraulic Technician
Vira.Frente@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/17/2014 13:07,RE: The rest of the files are in your mailbox,Minke Mies,Security,Perimeter Control,Vira Frente,Engineering,Hydraulic Technician
Vira.Frente@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/10/2014 15:12,"Hey, I’m going home sick.",Stenig Fusil,Security,Building Control,Vira Frente,Engineering,Hydraulic Technician
Vira.Frente@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/10/2014 17:34,"RE: Hey, I’m going home sick.",Stenig Fusil,Security,Building Control,Vira Frente,Engineering,Hydraulic Technician
Willem.Vasco-Pais@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/7/2014 10:32,Late for meeting,Inga Ferro,Security,Site Control,Willem Vasco-Pais,Executive,Environmental Safety Advisor
Willem.Vasco-Pais@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/7/2014 12:05,RE: Late for meeting,Inga Ferro,Security,Site Control,Willem Vasco-Pais,Executive,Environmental Safety Advisor
